493;58;2011-02-28 15:46:12.233000000;040633700053;2006-02-28 00:00:00;5;вул, Радянська;257;446126,74000000;Для комерційного використання під будівництво ЗТП та стоянки автотранспорту;109;Для будівництва ЗТП 10/04-160 та стоянки автотранспорту;18;30;040633700053;2006-03-16 00:00:00;;,12780000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:10:026:0001;0;,12780000;1,00000000;4461,27000000;,00000000;,00000000;,00000000;4461,27000000;371,77000000;2006-03-16 00:00:00;2011-03-16 00:00:00;2010-01-20 00:00:00;0;5595,00000000;466,25000000;0;,00000000;0;-1;-1;-1;
509;60;2011-04-22 15:10:01.780000000;040633700069;2006-03-21 00:00:00;10;вул. Ленінградська, 20;-1;223294,70000000;Для змішаного використання;109;Для змішаного використання;14;30;040633700069;2006-03-27 00:00:00;;,09550000;На земельній ділянці знаходиться будівля;0;,00000000;3210500000:06:031:0014;0;,09550000;7,00000000;15630,63000000;,00000000;,00000000;,00000000;15630,63000000;1302,55000000;2006-03-27 00:00:00;2016-03-27 00:00:00;;0;14804,16000000;1233,68000000;0;,00000000;0;-1;-1;-1;
510;60;2011-05-05 15:57:24.390000000;040633700070;2006-03-23 00:00:00;25;перехрестя об'їзної дороги Бориспіль-Бровари та дороги на с. Лозівка;283;1583941,39000000;Для комерційного використання;109;Для будівництва станції технічного обслуговування автомобілів та придорожнього готелю;14;30;040633700070;2006-03-28 00:00:00;;,99990000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:02:001:0033;0;,99990000;7,00000000;110875,90000000;,00000000;,00000000;,00000000;110875,90000000;9239,66000000;2006-03-28 00:00:00;2031-03-28 00:00:00;;0;110875,92000000;9239,66000000;0;,00000000;0;-1;-1;-1;
511;58;2011-04-28 09:57:10.093000000;040633700071;2006-03-20 00:00:00;5;вул. Челюскінців, 7-д;275;218,23000000;Для ведення особистого підсобного господарства, садівництва, городництва, сінокосіння і випасання худоби;101;Для городництва;18;30;040633700071;2006-03-29 00:00:00;2006-04-17 00:00:00;,03600000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:11:003:0012;0;,03600000;1,00000000;2,18000000;,00000000;,00000000;,00000000;2,18000000;,18000000;2006-03-29 00:00:00;2011-03-29 00:00:00;2011-03-29 00:00:00;0;2,76000000;,23000000;0;,00000000;0;-1;-1;-1;
494;60;2011-06-02 17:04:40.610000000;040633700054;2006-03-09 00:00:00;10;вул. Червоноармійська;270;359398,30000000;Для комерційного вткористання;109;Для завершення будівництва кафе;14;30;040633700054;2006-03-20 00:00:00;;,08300000;На земельній ділянці знаходиться незавершене будівництво;0;,00000000;3210500000:10:006:0001;0;,08300000;7,00000000;25157,88000000;,00000000;,00000000;,00000000;25157,88000000;2096,49000000;2006-03-20 00:00:00;2016-03-20 00:00:00;;0;33386,04000000;2782,17000000;0;,00000000;0;-1;-1;-1;
495;60;2011-04-19 15:58:01.407000000;040633700055;2006-03-22 00:00:00;25;район військового радгоспу "Бориспільський";-1;837200,91000000;Для комерційного використання;109;Для будівництва комплексу автосервісного обслуговування з готелем, рестораном та магазином супутних товарів;14;30;040633700055;2006-03-22 00:00:00;;,88790000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:05:001:0040;0;,88790000;7,00000000;58604,06000000;,00000000;,00000000;,00000000;58604,06000000;4883,67000000;2006-03-22 00:00:00;2031-03-22 00:00:00;;0;71495,04000000;5957,92000000;0;,00000000;0;-1;-1;-1;
496;60;2010-11-22 12:02:19.030000000;040633700056;2006-03-21 00:00:00;25;вул. Дзержинського, 14;278;3042762,65000000;Для промисловості;109;Для виробничих потреб під цілісним майновим комплексом;21;30;040633700056;2006-03-22 00:00:00;;2,20740000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:10:020:0007;0;2,20740000;1,00000000;30427,63000000;,00000000;,00000000;,00000000;30427,63000000;2535,64000000;2006-03-22 00:00:00;2031-03-22 00:00:00;2007-03-12 00:00:00;0;32155,56000000;2679,63000000;0;,00000000;0;-1;-1;-1;
497;60;2011-02-21 11:36:37.343000000;040633700057;2006-03-21 00:00:00;25;вул. Київський шлях;276;2434812,00000000;Для промисловості;109;Для розміщення виробничо-складського комплексу;14;30;040633700057;2006-03-22 00:00:00;;7,08000000;На земельній ділянці не знаходяться об'єкти нерухомості;0;,00000000;3210500000:05:001:0001;0;7,08000000;5,00000000;121740,60000000;,00000000;,00000000;,00000000;121740,60000000;10145,05000000;2006-03-22 00:00:00;2031-03-22 00:00:00;;0;152678,16000000;12723,18000000;0;,00000000;0;-1;-1;-1;
498;58;2011-02-28 15:44:39.780000000;040633700058;2005-11-28 00:00:00;5;провул. Котляревського, 22;702;351,42000000;Для городництва;101;Для городництва;18;30;040633700058;2006-03-23 00:00:00;;,06000000;На земельній ділянці обєкти нерухомості не знаходиться;0;,00000000;321050000:::0001;0;,06000000;1,00000000;3,51000000;,00000000;,00000000;,00000000;3,51000000;,29000000;2006-03-23 00:00:00;2011-03-23 00:00:00;2010-01-20 00:00:00;0;4,56000000;,38000000;0;,00000000;0;-1;-1;-1;
499;60;2011-02-21 11:46:57.797000000;040633700059;2006-03-22 00:00:00;25;район 34 км;279;1320658,56000000;Для промисловості;109;Для будівництва виробничої бази;14;30;040633700059;2006-03-23 00:00:00;;3,00000000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:05:001:0042;0;3,00000000;1,00000000;13206,59000000;,00000000;,00000000;,00000000;13206,59000000;1100,55000000;2006-03-23 00:00:00;2031-03-23 00:00:00;;0;16562,76000000;1380,23000000;0;,00000000;0;-1;-1;-1;
500;54;2008-07-14 09:33:56;040633700060;2006-03-23 00:00:00;3;;-1;50945,10000000;Для ;-1;Для ;21;30;040633700060;2006-03-23 00:00:00;;,46730000;;0;,00000000;;0;,46730000;10,00000000;5094,51000000;,00000000;,00000000;,00000000;5094,51000000;424,54000000;2006-03-23 00:00:00;2009-03-23 00:00:00;;0;5383,80000000;448,65000000;0;,00000000;0;-1;-1;-1;
501;60;2011-02-23 09:09:31.813000000;040633700061;2006-03-23 00:00:00;25;район вул. Серова;288;230283,05000000;Для комерційного використання;109;Для будівництва торгово-побутового комплексу;14;30;040633700061;2006-03-24 00:00:00;;,33980000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:12:004:0242;0;,33980000;1,00000000;2302,83000000;,00000000;,00000000;,00000000;2302,83000000;191,90000000;2006-03-24 00:00:00;2031-03-24 00:00:00;;0;2934,36000000;244,53000000;0;,00000000;0;-1;-1;-1;
502;60;2011-04-15 12:33:39.470000000;040633700062;2006-03-23 00:00:00;25;по вул. Київський Шлях на території військового радгоспу "Бориспільський";285;1482600,00000000;Для промисловості;109;Для розміщення підприємства з виробництва обєктів зовнішньої реклами;14;30;040633700062;2006-03-24 00:00:00;;3,00000000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:05:001:0039;0;3,00000000;3,00000000;44478,00000000;,00000000;,00000000;,00000000;44478,00000000;3706,50000000;2006-03-24 00:00:00;2031-03-24 00:00:00;;0;79486,80000000;6623,90000000;0;,00000000;0;-1;-1;-1;
503;60;2011-04-22 10:30:28.110000000;040633700063;2006-03-22 00:00:00;25;виїзд з міста в напрямку м. Харків;280;283544,17000000;Для комерційного використання;109;Для будівництва міні станції технічного обслуговування автомобілів, кафе та магазину супутних товарів;14;30;040633700063;2006-03-24 00:00:00;;,40000000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:12:004:0247;0;,40000000;1,00000000;2835,44000000;,00000000;,00000000;,00000000;2835,44000000;236,29000000;2006-03-24 00:00:00;2031-03-24 00:00:00;;0;8176,32000000;681,36000000;0;,00000000;0;-1;-1;-1;
504;60;2011-04-14 14:36:47.733000000;040633700064;2006-03-23 00:00:00;25;територія військового радгоспу "Бориспільський";284;523350,00000000;Для промисловості;109;Для будівництва кондитерського та кулінарного цехів;14;30;040633700064;2006-03-24 00:00:00;;1,50000000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:05:001:0041;0;1,50000000;3,00000000;15700,50000000;,00000000;,00000000;,00000000;15700,50000000;1308,38000000;2006-03-24 00:00:00;2031-03-24 00:00:00;;0;34304,76000000;2858,73000000;0;,00000000;0;-1;-1;-1;
505;60;2011-04-27 09:14:55.907000000;040633700065;2006-03-22 00:00:00;25;вул. Привокзальна;281;2715604,16000000;Для промисловості;109;Для розміщення зернопереробного комплексу;14;30;040633700065;2006-03-24 00:00:00;;4,50000000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:04:022:0003;0;4,50000000;1,00000000;27156,04000000;,00000000;,00000000;,00000000;27156,04000000;2263,00000000;2006-03-24 00:00:00;2031-03-24 00:00:00;;0;34783,44000000;2898,62000000;0;,00000000;0;-1;-1;-1;
506;58;2011-02-28 15:45:14.577000000;040633700066;2006-03-24 00:00:00;5;провулок Котляревського, 24;291;315,22000000;Для городництва;101;Для городництва;18;30;040633700066;2006-03-27 00:00:00;2006-03-29 00:00:00;,05200000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:::;0;,05200000;1,00000000;3,15000000;,00000000;,00000000;,00000000;3,15000000;,26000000;2006-03-27 00:00:00;2011-03-27 00:00:00;2010-01-20 00:00:00;0;3,96000000;,33000000;0;,00000000;0;-1;-1;-1;
507;60;2011-04-26 15:24:57.267000000;040633700067;2006-03-24 00:00:00;10;вул. Завокзальна, 3;289;246398,46000000;Для промисловості;109;Для пункту по виробництву стиснутих та скраплених газів;14;30;040633700067;2006-03-27 00:00:00;;,87780000;На земельній ділянці знаходиться пункт по виробництву скраплених газів;0;,00000000;3210500000:03:007:0002;0;,87780000;5,00000000;12319,47000000;,00000000;,00000000;,00000000;12319,47000000;1026,62000000;2006-03-27 00:00:00;2016-03-27 00:00:00;;0;25693,32000000;2141,11000000;0;,00000000;0;-1;-1;-1;
508;60;2011-04-22 10:29:44.890000000;040633700068;2006-03-23 00:00:00;25;вул. Привокзальна, 86;282;528448,61000000;Для несільськогосподарського призначення (відкриті заболочені землі вкриті чагарниковою рослинністю);109;Для будівництва комплексу сервісного обслуговування з мотелем, кафе, магазином супутних товарів;14;30;040633700068;2006-03-27 00:00:00;;,90000000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:04:036:0030;0;,90000000;1,00000000;5284,49000000;,00000000;,00000000;,00000000;5284,49000000;440,37000000;2006-03-27 00:00:00;2031-03-27 00:00:00;;0;15238,68000000;1269,89000000;0;,00000000;0;-1;-1;-1;
1030;60;2010-11-12 09:07:14.390000000;;;0;;-1;,00000000;;-1;;21;35;;;;,00000000;;0;,00000000;;0;,00000000;,00000000;,00000000;,00000000;,00000000;,00000000;,00000000;,00000000;1993-01-01 00:00:00;;;0;,00000000;,00000000;-1;,00000000;0;-1;-1;-1;
512;60;2011-02-09 10:09:40.470000000;040633700072;2006-02-28 00:00:00;10;вул. Київський шлях, 2/3-Б;258;44832,00000000;Для комерційного використання під розміщення кафе;109;Для розміщення кафе;18;30;040633700072;2006-03-30 00:00:00;;,01600000;На земельній ділянці об'єкти нерухомості не знаходиться ;0;,00000000;3210500000:07:002:0001;0;,01600000;7,00000000;3138,24000000;,00000000;,00000000;,00000000;3138,24000000;261,52000000;2006-03-30 00:00:00;2016-03-30 00:00:00;2010-03-26 00:00:00;0;3828,60000000;319,05000000;0;,00000000;0;-1;-1;-1;
544;60;2011-04-22 10:24:04.453000000;040633700104;2006-04-11 00:00:00;10;вул. Лютнева в районі гаражного кооперативу "Автолюбитель";-1;25544,26000000;Для комерційного використання під існуючим торговим павільйоном;109;Для комерційного використання під існуючим торговим павільйоном;14;30;040633700104;2006-07-06 00:00:00;;,01000000;На земельній ділянці знаходиться торговий павільйон;0;,00000000;3210500000:06:045:0022;0;,01000000;1,00000000;255,44000000;,00000000;,00000000;,00000000;255,44000000;21,29000000;2006-07-06 00:00:00;2016-07-06 00:00:00;;0;657,96000000;54,83000000;0;,00000000;0;-1;-1;-1;
545;60;2011-02-22 12:16:01.500000000;040633700105;2006-07-04 00:00:00;5;пров. Севастьяна, 8;321;275,44000000;Для городництва;101;Для городництва;14;30;040633700105;2006-07-07 00:00:00;;,04420000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:13:027:0017;0;,04420000;3,00000000;8,26000000;,00000000;,00000000;,00000000;8,26000000;,69000000;2006-07-07 00:00:00;2011-07-07 00:00:00;;0;10,08000000;,84000000;0;,00000000;0;-1;-1;-1;
546;60;2011-04-20 09:26:34.063000000;040633700106;2006-06-29 00:00:00;10;по вул. Київський шлях, в районі автобусної зупинки "Ленінградська";314;22135,80000000;Для комерційного використання;109;Для комерційного використання;14;30;040633700106;2006-07-11 00:00:00;;,00790000;На земельній ділянці знаходиться магазин;0;,00000000;3210500000:07:002:0017;0;,00790000;7,00000000;1550,00000000;,00000000;,00000000;,00000000;1550,00000000;129,17000000;2006-07-11 00:00:00;2016-07-11 00:00:00;;0;2715,60000000;226,30000000;0;,00000000;0;-1;-1;-1;
547;60;2011-02-21 15:08:09.610000000;040633700107;2006-08-03 00:00:00;25;на території військового радгоспу “Бориспільський”;565;5476949,89000000;Для оптова торгівля та складське господарство;109;Для оптова торгівля та складське господарство;14;30;040633700107;2006-08-04 00:00:00;;6,30000000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:05:001:0046;0;6,30000000;5,00000000;273847,49000000;,00000000;,00000000;,00000000;273847,49000000;22820,62000000;2006-08-04 00:00:00;2031-08-04 00:00:00;;0;343439,52000000;28619,96000000;0;,00000000;0;-1;-1;-1;
548;60;2011-02-21 14:33:42.047000000;040633700108;2006-08-04 00:00:00;3;вул. Горького, 42-а;323;314985,80000000;Для земель комерційного та іншого призначення;109;Для земель комерційного та іншого призначення;14;30;040633700108;2006-08-09 00:00:00;;,19050000;На земельній ділянці знаходиться автозаправка;0;,00000000;3210500000:07:008:0007;0;,19050000;3,00000000;9449,57000000;,00000000;,00000000;,00000000;9449,57000000;787,46000000;2006-08-09 00:00:00;2009-08-09 00:00:00;;0;11850,96000000;987,58000000;0;,00000000;0;-1;-1;-1;
549;60;2011-05-04 10:40:11.750000000;040633700109;2006-08-09 00:00:00;5;вул. Каховська, 1;-1;259515,64000000;Землі автомобільного транспорту;109;Землі автомобільного транспорту;14;30;040633700109;2006-08-09 00:00:00;2006-08-04 00:00:00;,52790000;На земельній ділянці знаходиться автопарк;0;,00000000;3210500000:11:045:0057;0;,52790000;6,00000000;15570,94000000;,00000000;,00000000;,00000000;15570,94000000;1297,58000000;2006-08-09 00:00:00;2011-08-09 00:00:00;;0;21142,44000000;1761,87000000;0;,00000000;0;-1;-1;-1;
550;60;2011-02-22 17:03:35.267000000;040633700110;2006-08-16 00:00:00;5;вул. Гоголя, 34;325;327,30000000;Для для городництва;101;Для для городництва;14;30;040633700110;2006-08-19 00:00:00;;,05000000;На земельній ділянці об'єкти нерухомості не знаходиться;0;,00000000;3210500000:07:011:0008;0;,05000000;1,00000000;3,27000000;,00000000;,00000000;,00000000;3,27000000;,27000000;2006-08-19 00:00:00;2011-08-19 00:00:00;;0;4,08000000;,34000000;0;,00000000;0;-1;-1;-1;
551;58;2011-06-20 12:09:01.807000000;040633700111;2006-08-18 00:00:00;3;на розі вулиць Головатого-Лютнева;-1;19364,00000000;Для землі роздрібної торгівлі та комерційних послуг;109;Для землі роздрібної торгівлі та комерційних послуг;14;30;040633700111;2006-08-19 00:00:00;;,00800000;На земельній ділянці знаходиться магазин;0;,00000000;3210500000:10:001:0054;0;,00800000;7,00000000;1355,48000000;,00000000;,00000000;,00000000;1355,48000000;112,96000000;2006-08-19 00:00:00;2009-08-19 00:00:00;;0;1355,52000000;112,96000000;0;,00000000;0;-1;-1;-1;
552;60;2011-02-23 09:01:13.750000000;040633700112;2006-08-29 00:00:00;3;на розі вулиць Головатого-Лютнева;-1;20262,71000000;Для землі роздрібної торгівлі та комерційних послуг;109;Для землі роздрібної торгівлі та комерційних послуг;14;30;040633700112;2006-09-06 00:00:00;;,01050000;На земельній ділянці знаходиться торговий павільйон "Інтер"єр";0;,00000000;3210500000:10:001:0044;0;,01050000;5,00000000;1014,00000000;,00000000;,00000000;,00000000;1014,00000000;84,50000000;2006-09-06 00:00:00;2009-09-06 00:00:00;;0;1778,88000000;148,24000000;0;,00000000;0;-1;-1;-1;
553;58;2011-03-18 14:22:45.377000000;040633700113;2006-09-04 00:00:00;5;вул. Франка, 5-в;566;70873,40000000;Для землі роздрібної торгівлі та комерційних послуг;109;Для землі роздрібної торгівлі та комерційних послуг;14;30;040633700113;2006-09-06 00:00:00;2006-09-04 00:00:00;,01300000;На земельній ділянці знаходиться магазин;0;,00000000;3210500000:10:009:0005;0;,01300000;7,00000000;4961,14000000;,00000000;,00000000;,00000000;4961,14000000;413,43000000;2006-09-06 00:00:00;2011-09-06 00:00:00;;0;4526,04000000;377,17000000;0;,00000000;0;-1;-1;-1;
554;54;2008-10-07 17:32:58.470000000;040633700114;2006-09-11 00:00:00;25;;-1;125390,10000000;Для ;-1;Для ;21;30;040633700114;2006-09-11 00:00:00;;4,26740000;;0;,00000000;;0;4,26740000;10,00000000;12539,01000000;,00000000;,00000000;,00000000;12539,01000000;1044,92000000;2006-09-11 00:00:00;2031-09-11 00:00:00;;0;13251,12000000;1104,26000000;0;,00000000;0;-1;-1;-1;
555;60;2011-04-21 12:19:45.577000000;040633700115;2006-08-04 00:00:00;10;вул. Ватутіна;324;152368,32000000;Для комерційного використання;109;Для комерційного використання;14;30;040633700115;2006-09-15 00:00:00;;,06960000;На земельній ділянці знаходиться магазин;0;,00000000;3210500000:07:012:0008;0;,06960000;7,00000000;10665,78000000;,00000000;,00000000;,00000000;10665,78000000;888,82000000;2006-09-15 00:00:00;2016-09-15 00:00:00;;0;16078,68000000;1339,89000000;0;,00000000;0;-1;-1;-1;
556;60;2011-02-22 17:05:39.077000000;040633700116;2006-09-13 00:00:00;3;вул. Завокзальна;-1;12451,32000000;Для роздрібна торгівля та комерційні послуги;109;Для роздрібна торгівля та комерційні послуги;14;30;040633700116;2006-09-15 00:00:00;;,00630000;На земельній ділянці знаходиться торговий павільйон;0;,00000000;3210500000:03:011:0006;0;,00630000;7,00000000;871,59000000;,00000000;,00000000;,00000000;871,59000000;72,63000000;2006-09-15 00:00:00;2009-09-15 00:00:00;;0;1063,32000000;88,61000000;0;,00000000;0;-1;-1;-1;
557;60;2011-04-13 16:52:12.063000000;040633700117;2006-09-18 00:00:00;10;вул. Н.Вал в районі центрального ощадного банку;567;129392,66000000;Для комерційного та іншого призначення;109;Для комерційного та іншого призначення;14;30;040633700117;2006-09-18 00:00:00;2006-09-14 00:00:00;,03260000;На земельній ділянці знаходиться магазин;0;,00000000;3210500000:10:009:0036;0;,03260000;7,00000000;9057,49000000;,00000000;,00000000;,00000000;9057,49000000;754,79000000;2006-09-18 00:00:00;2016-09-18 00:00:00;;0;12534,72000000;1044,56000000;0;,00000000;0;-1;-1;-1;
902;60;2010-11-10 09:29:08.063000000;;;0;;-1;,00000000;;-1;;21;35;;;;,00000000;;0;,00000000;;0;,00000000;,00000000;,00000000;,00000000;,00000000;,00000000;,00000000;,00000000;1993-01-01 00:00:00;;;0;,00000000;,00000000;-1;,00000000;0;-1;-1;-1;
513;60;2011-02-21 11:26:00.923000000;040633700073;2006-03-31 00:00:00;25;вул. Лютнева, 1;295;418110,28000000;Для автотехобслуговування;109;Для розширення АЗС;14;30;040633700073;2006-03-31 00:00:00;;,13820000;На земельній ділянці знаходиться АЗС;0;,00000000;3210500000:06:045:0029;0;,13820000;12,00000000;50173,23000000;,00000000;,00000000;,00000000;50173,23000000;4181,10000000;2006-03-31 00:00:00;2031-03-31 00:00:00;;0;53133,48000000;4427,79000000;0;,00000000;0;-1;-1;-1;
558;60;2011-04-13 16:52:53.157000000;040633700118;2006-09-18 00:00:00;10;на розі вул. Шевченка-Червоноармійська;-1;14944,30000000;Для комерційного та іншого призначення;109;Для комерційного та іншого призначення;14;30;040633700118;2006-09-18 00:00:00;;,00350000;На земельній ділянці знаходиться магазин;0;,00000000;3210500000:10:006:0034;0;,00350000;7,00000000;1046,11000000;,00000000;,00000000;,00000000;1046,11000000;87,18000000;2006-09-18 00:00:00;2016-09-18 00:00:00;;0;1447,68000000;120,64000000;0;,00000000;0;-1;-1;-1;
559;60;2011-02-21 11:24:29.890000000;040633700119;2006-09-22 00:00:00;5;по вул. Новій;326;175176,54000000;Для житлових, житлово-будівельних кооперативів;102;Для житлових, житлово-будівельних кооперативів;14;30;040633700119;2006-09-25 00:00:00;2006-09-22 00:00:00;,42130000;На земельній ділянці знаходиться багатоповерхові житлові будинки;0;,00000000;3210500000:10:009:0056;0;,42130000;5,00000000;8758,83000000;,00000000;,00000000;,00000000;8758,83000000;729,90000000;2006-09-25 00:00:00;2011-09-25 00:00:00;;0;10685,52000000;890,46000000;0;,00000000;0;-1;-1;-1;
560;54;2008-09-23 12:13:18.517000000;040633700120;2006-09-25 00:00:00;10;по вул. Запорізькій, 16;327;411574,77000000;Землі промисловості;109;Для ;18;30;040633700120;2006-09-25 00:00:00;2006-09-25 00:00:00;,71600000;На земельній ділянці знаходиться;0;,00000000;;0;,71600000;1,50000000;6173,62000000;,00000000;,00000000;,00000000;6173,62000000;514,47000000;2006-09-25 00:00:00;2016-09-25 00:00:00;2008-08-21 00:00:00;0;6524,64000000;543,72000000;0;,00000000;0;-1;-1;-1;
561;54;2008-07-14 10:49:36.453000000;040633700121;2006-09-28 00:00:00;25;;-1;164521,00000000;Для ;-1;Для ;21;30;040633700121;2006-09-28 00:00:00;;,66100000;;0;,00000000;;0;,66100000;10,00000000;16452,10000000;,00000000;,00000000;,00000000;16452,10000000;1371,01000000;2006-09-28 00:00:00;2031-09-28 00:00:00;;0;17386,32000000;1448,86000000;0;,00000000;0;-1;-1;-1;
